date,open,high,low,close,volume,Name,range,GOPLeader Vader Sentiment Score
2018-04-19,269.65,269.88,267.72,268.89,77655909,SPY,2.159999999999968,0.45309
2018-04-18,270.69,271.3,269.87,270.39,57303857,SPY,1.4300000000000068,0.32830000000000004
2018-04-17,269.33,270.87,268.75,270.19,64682036,SPY,2.1200000000000045,0.07943076923076922
2018-04-16,267.0,268.2,266.07,267.33,63405287,SPY,2.1299999999999955,0.3818
2018-04-12,265.26,267.0,265.06,265.93,68890480,SPY,1.9399999999999977,-0.03544999999999998
2018-04-11,263.47,265.64,263.39,263.76,91140243,SPY,2.25,0.22908
2018-04-10,264.27,266.04,262.98,265.15,105573736,SPY,3.0600000000000023,0.16438000000000003
2018-04-09,261.37,264.84,259.9356,261.0,105442932,SPY,4.904399999999953,0.5724416666666667
2018-04-05,265.55,266.64,264.32,265.64,82652618,SPY,2.319999999999993,0.67545
2018-04-04,256.75,264.355,256.6,263.56,123715339,SPY,7.7549999999999955,0.0
2018-04-02,262.55,263.13,254.67,257.47,186286343,SPY,8.460000000000008,0.0258
2018-03-29,261.12,265.26,259.8389,263.15,124244790,SPY,5.421099999999967,0.053575000000000005
2018-03-28,260.75,262.64,258.58,259.83,146452306,SPY,4.060000000000002,0.29033333333333333
2018-03-27,266.17,266.77,258.84,260.6,129941445,SPY,7.930000000000007,0.5326500000000001
2018-03-26,262.13,265.43,259.41,265.11,141956102,SPY,6.019999999999982,0.3612
2018-03-23,264.17,265.02,257.83,258.05,183534751,SPY,7.189999999999998,0.80715
2018-03-22,267.91,268.87,263.36,263.67,148785916,SPY,5.509999999999991,0.334175
2018-03-21,270.9,273.27,270.19,270.43,78709578,SPY,3.079999999999984,0.36055
2018-03-20,270.94,271.67,270.18,270.95,59757271,SPY,1.490000000000009,0.46416666666666667
2018-03-19,273.35,274.3957,268.62,270.49,109208442,SPY,5.775699999999972,-0.1234
2018-03-15,274.7798,275.5069,273.3356,273.9033,83433038,SPY,2.171299999999974,-0.7783
2018-03-14,276.7021,276.9113,273.5746,274.2021,105895079,SPY,3.3367000000000075,-0.08453333333333331
