date,open,high,low,close,volume,Name,range,JimDeMint Vader Sentiment Score
2017-12-22,266.5428,266.5677,265.8356,266.4432,78720873,SPY,0.7321000000000026,0.1806
2017-12-21,266.6025,267.3147,266.234,266.5129,67032339,SPY,1.0807000000000357,0.8979
2017-12-20,267.1902,267.2599,265.6264,265.9651,76751500,SPY,1.6335000000000264,-0.14474
2017-12-19,267.4143,267.4591,266.0248,266.1045,82382876,SPY,1.4342999999999506,0.5812666666666667
2017-12-18,266.991,267.5288,266.9113,267.1304,83653572,SPY,0.6175000000000068,-0.03687500000000003
2017-12-08,262.6043,263.1295,261.6544,263.1196,76563873,SPY,1.4750999999999976,0.3182
2017-11-27,258.0655,258.4025,257.6592,257.8872,52274922,SPY,0.7432999999999765,-0.2553
2017-11-02,255.0926,255.4295,253.8835,255.2709,56449535,SPY,1.5459999999999923,-0.15084999999999998
2017-10-30,254.7556,255.2808,254.1016,254.4385,54285687,SPY,1.1792000000000087,0.4939
2017-10-26,253.6853,253.9926,253.1799,253.3187,69797972,SPY,0.8127000000000066,0.17755
2017-10-20,254.389,254.825,253.4717,254.7953,89176377,SPY,1.3532999999999902,-0.3071
2017-10-18,253.5962,253.6457,253.1998,253.4178,40888330,SPY,0.44589999999999463,0.0
2017-10-12,252.3673,252.7637,252.075,252.3475,47065144,SPY,0.6887000000000114,-0.8658
2017-10-05,251.2574,252.3871,250.9165,252.3673,63522757,SPY,1.4705999999999904,0.0
2017-09-28,247.4817,248.1853,247.3826,248.0961,44778841,SPY,0.8027000000000157,0.38000000000000006
2017-09-21,247.6304,247.7295,246.9416,247.1448,48211398,SPY,0.7879000000000076,0.4744
2017-09-12,246.1613,246.6149,245.9542,246.5754,56896027,SPY,0.6607000000000198,0.5106
2017-09-08,243.1142,243.6763,242.8775,243.1537,63832825,SPY,0.7988,0.4939
2017-09-07,243.8143,243.8341,242.9762,243.4396,58034730,SPY,0.8579000000000008,-0.10785
2017-08-24,241.5956,241.7731,240.363,240.5996,50741671,SPY,1.4101,-0.3062
2017-08-21,239.2684,239.8206,238.4697,239.5248,65469736,SPY,1.3509000000000242,-0.1627
2017-08-10,242.8677,243.0156,240.3137,240.3728,120479470,SPY,2.701899999999995,0.1806
2017-08-09,243.0452,243.8735,242.6409,243.8143,62632619,SPY,1.2326000000000192,0.0
2017-08-08,244.0707,245.4513,243.4002,243.8242,61719353,SPY,2.051099999999991,0.23663333333333333
2017-07-27,244.5145,244.5539,242.2662,243.765,70766568,SPY,2.287700000000001,0.9417
2017-07-26,244.3074,244.3468,243.696,243.9918,47575422,SPY,0.6508000000000038,0.42225
2017-07-25,244.2384,244.3567,243.7256,243.982,54915591,SPY,0.6311000000000035,0.29157500000000003
2017-07-13,240.6292,241.1519,240.3728,241.0237,39471637,SPY,0.7790999999999997,0.144
2017-07-03,239.5051,239.9981,238.8444,238.8444,39153806,SPY,1.1536999999999864,0.7778
2017-06-26,240.5109,240.9842,239.6678,239.9094,56700477,SPY,1.3163999999999874,0.8204
2017-06-20,240.856,240.8659,239.6135,239.6333,56906368,SPY,1.2524000000000228,0.0
2017-06-16,239.3966,239.4558,238.2761,239.2684,84553097,SPY,1.1796999999999969,0.1848
2017-06-15,238.1465,239.3535,237.8325,239.2161,66464888,SPY,1.5209999999999866,0.0
2017-06-14,240.2858,240.2956,238.7451,239.6773,78602311,SPY,1.5504999999999995,0.1531
2017-06-12,238.5881,238.8727,237.8521,238.8138,86108102,SPY,1.0206000000000017,0.25895
2017-05-19,232.8964,234.6137,232.8376,233.8581,115011373,SPY,1.7760999999999854,0.1531
2017-05-03,233.8385,234.415,233.2595,234.0249,73137731,SPY,1.1554999999999893,0.95505
2017-04-27,234.3095,234.4862,233.5343,234.1427,57410326,SPY,0.9518999999999949,-0.20379999999999998
2017-04-26,234.0544,235.0553,233.8974,233.9464,84702455,SPY,1.1578999999999837,-0.18402000000000002
2017-04-25,233.4656,234.4862,233.3675,234.0936,76698265,SPY,1.1186999999999898,0.5137999999999999
2017-04-24,232.7492,232.9749,230.1809,232.7394,119209877,SPY,2.7939999999999827,-0.2411
